startNodeId,endNodeId,travelCost,visibilityScore,pathType
0,17,2.000,0.500,Concealed
0,1,2.000,0.500,Detour
1,0,2.000,0.500,Detour
1,18,2.000,0.500,Detour
1,2,2.000,0.500,Detour
2,1,2.000,0.500,Detour
2,19,2.000,0.500,Detour
2,3,2.000,0.500,Concealed
3,2,2.000,0.500,Concealed
3,20,2.000,0.500,Concealed
3,4,2.000,0.500,Concealed
4,3,2.000,0.500,Concealed
4,21,2.000,0.500,Concealed
4,5,2.000,0.500,Concealed
5,4,2.000,0.500,Concealed
5,22,2.000,0.500,Concealed
5,6,2.000,0.500,Concealed
6,5,2.000,0.500,Concealed
6,23,2.000,0.500,Concealed
6,7,2.000,0.500,Concealed
7,6,2.000,0.500,Concealed
7,24,2.000,0.500,Concealed
7,8,2.000,0.500,Concealed
8,7,2.000,0.500,Concealed
8,25,2.000,0.500,Concealed
8,9,2.000,0.500,Concealed
9,8,2.000,0.500,Concealed
9,26,2.000,0.500,Concealed
9,10,2.000,0.500,Concealed
10,9,2.000,0.500,Concealed
10,27,2.000,0.500,Detour
10,11,2.000,0.500,Detour
11,10,2.000,0.500,Detour
11,28,2.000,0.500,Detour
11,12,2.000,0.500,Detour
12,11,2.000,0.500,Detour
12,29,2.000,0.500,Concealed
12,13,2.000,0.500,Detour
13,12,2.000,0.500,Detour
13,30,2.000,0.500,Detour
13,14,2.000,0.500,Detour
14,13,2.000,0.500,Detour
14,31,2.000,0.500,Concealed
14,15,2.000,0.500,Detour
15,14,2.000,0.500,Detour
15,32,2.000,0.500,Detour
15,16,2.000,0.500,Detour
16,15,2.000,0.500,Detour
16,33,2.000,0.500,Detour
17,0,2.000,0.500,Concealed
17,34,2.000,0.500,Concealed
17,18,2.000,0.500,Concealed
18,1,2.000,0.500,Detour
18,17,2.000,0.500,Concealed
18,35,2.000,0.500,Concealed
18,19,2.000,0.500,Detour
19,2,2.000,0.500,Detour
19,18,2.000,0.500,Detour
19,36,2.000,0.500,Detour
19,20,2.000,0.500,Detour
20,3,2.000,0.500,Concealed
20,19,2.000,0.500,Detour
20,37,2.000,0.500,Concealed
20,21,2.000,0.500,Concealed
21,4,2.000,0.500,Concealed
21,20,2.000,0.500,Concealed
21,38,2.000,0.500,Concealed
21,22,2.000,0.500,Concealed
22,5,2.000,0.500,Concealed
22,21,2.000,0.500,Concealed
22,39,2.000,0.500,Concealed
22,23,2.000,0.500,Concealed
23,6,2.000,0.500,Concealed
23,22,2.000,0.500,Concealed
23,40,2.000,0.500,Detour
23,24,2.000,0.500,Concealed
24,7,2.000,0.500,Concealed
24,23,2.000,0.500,Concealed
24,41,2.000,0.500,Concealed
24,25,2.000,0.500,Concealed
25,8,2.000,0.500,Concealed
25,24,2.000,0.500,Concealed
25,42,2.000,0.500,Concealed
25,26,2.000,0.500,Concealed
26,9,2.000,0.500,Concealed
26,25,2.000,0.500,Concealed
26,43,2.000,0.500,Concealed
26,27,2.000,0.500,Detour
27,10,2.000,0.500,Detour
27,26,2.000,0.500,Detour
27,44,2.000,0.500,Detour
27,28,2.000,0.500,Detour
28,11,2.000,0.500,Detour
28,27,2.000,0.500,Detour
28,45,2.000,0.500,Concealed
28,29,2.000,0.500,Concealed
29,12,2.000,0.500,Concealed
29,28,2.000,0.500,Concealed
29,46,2.000,0.500,Concealed
29,30,2.000,0.500,Concealed
30,13,2.000,0.500,Detour
30,29,2.000,0.500,Concealed
30,47,2.000,0.500,Concealed
30,31,2.000,0.500,Concealed
31,14,2.000,0.500,Concealed
31,30,2.000,0.500,Concealed
31,48,2.000,0.500,Detour
31,32,2.000,0.500,Concealed
32,15,2.000,0.500,Detour
32,31,2.000,0.500,Concealed
32,49,2.000,0.500,Concealed
32,33,2.000,0.500,Detour
33,16,2.000,0.500,Detour
33,32,2.000,0.500,Detour
33,50,2.000,0.500,Detour
34,17,2.000,0.500,Concealed
34,51,2.000,0.500,Concealed
34,35,2.000,0.500,Concealed
35,18,2.000,0.500,Concealed
35,34,2.000,0.500,Concealed
35,52,2.000,0.500,Concealed
35,36,2.000,0.500,Concealed
36,19,2.000,0.500,Detour
36,35,2.000,0.500,Concealed
36,53,2.000,0.500,Concealed
36,37,2.000,0.500,Concealed
37,20,2.000,0.500,Concealed
37,36,2.000,0.500,Concealed
37,54,2.000,0.500,Detour
37,38,2.000,0.500,Concealed
38,21,2.000,0.500,Concealed
38,37,2.000,0.500,Concealed
38,55,2.000,0.500,Concealed
38,39,2.000,0.500,Concealed
39,22,2.000,0.500,Concealed
39,38,2.000,0.500,Concealed
39,56,2.000,0.500,Concealed
39,40,2.000,0.500,Detour
40,23,2.000,0.500,Detour
40,39,2.000,0.500,Detour
40,57,2.000,0.500,Detour
40,41,2.000,0.500,Detour
41,24,2.000,0.500,Concealed
41,40,2.000,0.500,Detour
41,58,2.000,0.500,Concealed
41,42,2.000,0.500,Concealed
42,25,2.000,0.500,Concealed
42,41,2.000,0.500,Concealed
42,59,2.000,0.500,Concealed
42,43,2.000,0.500,Concealed
43,26,2.000,0.500,Concealed
43,42,2.000,0.500,Concealed
43,60,2.000,0.500,Concealed
43,44,2.000,0.500,Concealed
44,27,2.000,0.500,Detour
44,43,2.000,0.500,Concealed
44,61,2.000,0.500,Concealed
44,45,2.000,0.500,Concealed
45,28,2.000,0.500,Concealed
45,44,2.000,0.500,Concealed
45,62,2.000,0.500,Concealed
45,46,2.000,0.500,Concealed
46,29,2.000,0.500,Concealed
46,45,2.000,0.500,Concealed
46,63,2.000,0.500,Concealed
46,47,2.000,0.500,Concealed
47,30,2.000,0.500,Concealed
47,46,2.000,0.500,Concealed
47,64,2.000,0.500,Concealed
47,48,2.000,0.500,Detour
48,31,2.000,0.500,Detour
48,47,2.000,0.500,Detour
48,65,2.000,0.500,Detour
48,49,2.000,0.500,Detour
49,32,2.000,0.500,Concealed
49,48,2.000,0.500,Detour
49,66,2.000,0.500,Concealed
49,50,2.000,0.500,Concealed
50,33,2.000,0.500,Detour
50,49,2.000,0.500,Concealed
50,67,2.000,0.500,Detour
51,34,2.000,0.500,Concealed
