nodeId,pos_x,pos_y,pos_z,nodeType,elevation,isVisibleFromSpawn,strategicType,dangerScore,visibilityScore,avgSurroundingHeight,neighborCount
0,-18.601,0.000,-16.384,BuildingCorner,0.000,False,CoverPoint,0.010,0.200,7.301,2
1,-18.601,0.000,-14.384,OpenSpace,0.000,False,DetourPath,0.026,0.200,12.948,3
2,-18.601,0.000,-12.384,BuildingCorner,0.000,False,CoverPoint,0.041,0.200,9.944,3
3,-18.601,0.000,-10.384,BuildingCorner,0.000,False,CoverPoint,0.056,0.200,15.870,3
4,-18.601,0.000,-8.384,BuildingCorner,0.000,False,CoverPoint,0.070,0.200,13.451,3
5,-18.601,0.000,-6.384,BuildingCorner,0.000,False,CoverPoint,0.083,0.200,10.900,3
6,-18.601,0.000,-4.384,BuildingCorner,0.000,False,CoverPoint,0.095,0.200,10.362,3
7,-18.601,0.000,-2.384,BuildingCorner,0.000,False,CoverPoint,0.107,0.200,13.601,3
8,-18.601,0.000,-0.384,BuildingCorner,0.000,False,CoverPoint,0.117,0.200,14.503,3
9,-18.601,0.000,1.616,BuildingCorner,0.000,False,CoverPoint,0.127,0.200,18.330,3
10,-18.601,0.000,3.616,BuildingCorner,0.000,False,CoverPoint,0.136,0.200,16.266,3
11,-18.601,0.000,5.616,OpenSpace,0.000,False,DetourPath,0.144,0.200,15.431,3
12,-18.601,0.000,7.616,BuildingCorner,0.000,False,CoverPoint,0.150,0.200,13.207,3
13,-18.601,0.000,9.616,OpenSpace,0.000,False,DetourPath,0.155,0.200,10.510,3
14,-18.601,0.000,11.616,BuildingCorner,0.000,False,CoverPoint,0.159,0.200,9.282,3
15,-18.601,0.000,13.616,OpenSpace,0.000,False,DetourPath,0.162,0.200,10.185,3
16,-18.601,0.000,15.616,BuildingCorner,0.000,False,CoverPoint,0.164,0.200,7.688,2
17,-16.601,0.000,-16.384,BuildingCorner,0.000,False,CoverPoint,0.027,0.200,10.548,3
18,-16.601,0.000,-14.384,BuildingCorner,0.000,False,CoverPoint,0.044,0.200,13.601,4
19,-16.601,0.000,-12.384,OpenSpace,0.000,False,DetourPath,0.059,0.200,11.637,4
20,-16.601,0.000,-10.384,BuildingCorner,0.000,False,CoverPoint,0.075,0.200,13.997,4
21,-16.601,0.000,-8.384,BuildingCorner,0.000,False,CoverPoint,0.089,0.200,11.606,4
22,-16.601,0.000,-6.384,BuildingCorner,0.000,False,CoverPoint,0.103,0.200,12.991,4
23,-16.601,0.000,-4.384,BuildingCorner,0.000,False,CoverPoint,0.116,0.200,10.951,4
24,-16.601,0.000,-2.384,BuildingCorner,0.000,False,CoverPoint,0.128,0.200,12.176,4
25,-16.601,0.000,-0.384,BuildingCorner,0.000,False,CoverPoint,0.139,0.200,13.462,4
26,-16.601,0.000,1.616,BuildingCorner,0.000,False,CoverPoint,0.149,0.200,15.172,4
27,-16.601,0.000,3.616,OpenSpace,0.000,False,DetourPath,0.158,0.200,14.308,4
28,-16.601,0.000,5.616,BuildingCorner,0.000,False,CoverPoint,0.166,0.200,12.788,4
29,-16.601,0.000,7.616,BuildingCorner,0.000,False,CoverPoint,0.173,0.200,11.035,4
30,-16.601,0.000,9.616,BuildingCorner,0.000,False,CoverPoint,0.179,0.200,11.157,4
31,-16.601,0.000,11.616,BuildingCorner,0.000,False,CoverPoint,0.183,0.200,7.437,4
32,-16.601,0.000,13.616,BuildingCorner,0.000,False,CoverPoint,0.186,0.200,11.345,4
33,-16.601,0.000,15.616,OpenSpace,0.000,False,DetourPath,0.188,0.200,11.402,3
34,-14.601,0.000,-16.384,BuildingCorner,0.000,False,CoverPoint,0.044,0.200,10.138,3
35,-14.601,0.000,-14.384,BuildingCorner,0.000,False,CoverPoint,0.061,0.200,11.509,4
36,-14.601,0.000,-12.384,BuildingCorner,0.000,False,CoverPoint,0.077,0.200,9.761,4
37,-14.601,0.000,-10.384,BuildingCorner,0.000,False,CoverPoint,0.093,0.200,15.437,4
38,-14.601,0.000,-8.384,BuildingCorner,0.000,False,CoverPoint,0.108,0.200,11.656,4
39,-14.601,0.000,-6.384,BuildingCorner,0.000,False,CoverPoint,0.122,0.200,13.134,4
40,-14.601,0.000,-4.384,OpenSpace,0.000,False,DetourPath,0.136,0.200,11.551,4
41,-14.601,0.000,-2.384,BuildingCorner,0.000,False,CoverPoint,0.148,0.200,14.527,4
42,-14.601,0.000,-0.384,BuildingCorner,0.000,False,CoverPoint,0.160,0.200,15.192,4
43,-14.601,0.000,1.616,BuildingCorner,0.000,False,CoverPoint,0.171,0.200,14.865,4
44,-14.601,0.000,3.616,BuildingCorner,0.000,False,CoverPoint,0.180,0.200,12.336,4
45,-14.601,0.000,5.616,BuildingCorner,0.000,False,CoverPoint,0.189,0.200,11.164,4
46,-14.601,0.000,7.616,BuildingCorner,0.000,False,CoverPoint,0.196,0.200,10.415,4
47,-14.601,0.000,9.616,BuildingCorner,0.000,False,CoverPoint,0.202,0.200,10.646,4
48,-14.601,0.000,11.616,OpenSpace,0.000,False,DetourPath,0.207,0.200,9.091,4
49,-14.601,0.000,13.616,BuildingCorner,0.000,False,CoverPoint,0.210,0.200,10.306,4
50,-14.601,0.000,15.616,BuildingCorner,0.000,False,CoverPoint,0.211,0.200,8.243,3
51,-12.601,0.000,-16.384,BuildingCorner,0.000,False,CoverPoint,0.061,0.200,10.867,3
52,-12.601,0.000,-14.384,BuildingCorner,0.000,False,CoverPoint,0.078,0.200,14.844,4
53,-12.601,0.000,-12.384,BuildingCorner,0.000,False,CoverPoint,0.095,0.200,10.144,4
54,-12.601,0.000,-10.384,OpenSpace,0.000,False,DetourPath,0.111,0.200,11.931,4
55,-12.601,0.000,-8.384,BuildingCorner,0.000,False,CoverPoint,0.127,0.200,12.111,4
56,-12.601,0.000,-6.384,BuildingCorner,0.000,False,CoverPoint,0.141,0.200,13.695,4
57,-12.601,0.000,-4.384,BuildingCorner,0.000,False,CoverPoint,0.155,0.200,13.787,4
58,-12.601,0.000,-2.384,BuildingCorner,0.000,False,CoverPoint,0.169,0.200,15.761,4
59,-12.601,0.000,-0.384,BuildingCorner,0.000,False,CoverPoint,0.181,0.200,13.250,4
60,-12.601,0.000,1.616,BuildingCorner,0.000,False,CoverPoint,0.192,0.200,13.126,4
61,-12.601,0.000,3.616,BuildingCorner,0.000,False,CoverPoint,0.202,0.200,11.054,4
62,-12.601,0.000,5.616,BuildingCorner,0.000,False,CoverPoint,0.211,0.200,9.314,4
63,-12.601,0.000,7.616,BuildingCorner,0.000,False,CoverPoint,0.219,0.200,11.385,4
64,-12.601,0.000,9.616,BuildingCorner,0.000,False,CoverPoint,0.225,0.200,10.666,4
65,-12.601,0.000,11.616,BuildingCorner,0.000,False,CoverPoint,0.230,0.200,12.295,4
66,-12.601,0.000,13.616,BuildingCorner,0.000,False,CoverPoint,0.233,0.200,10.335,4
67,-12.601,0.000,15.616,OpenSpace,0.000,False,DetourPath,0.235,0.200,11.056,3
68,-10.601,0.000,-16.384,BuildingCorner,0.000,False,CoverPoint,0.076,0.200,12.881,3
69,-10.601,0.000,-14.384,AlleyEntrance,0.000,False,CoverPoint,0.094,0.200,15.451,4
70,-10.601,0.000,-12.384,OpenSpace,0.000,False,DetourPath,0.112,0.200,12.584,4
71,-10.601,0.000,-10.384,BuildingCorner,0.000,False,CoverPoint,0.128,0.200,10.954,4
72,-10.601,0.000,-8.384,BuildingCorner,0.000,False,CoverPoint,0.145,0.200,11.091,4
73,-10.601,0.000,-6.384,BuildingCorner,0.000,False,CoverPoint,0.160,0.200,11.144,4
74,-10.601,0.000,-4.384,BuildingCorner,0.000,False,CoverPoint,0.175,0.200,12.486,4
75,-10.601,0.000,-2.384,BuildingCorner,0.000,False,CoverPoint,0.189,0.200,14.396,4
76,-10.601,0.000,-0.384,OpenSpace,0.000,False,DetourPath,0.201,0.200,13.712,4
77,-10.601,0.000,1.616,AlleyEntrance,0.000,False,CoverPoint,0.213,0.200,12.180,4
78,-10.601,0.000,3.616,AlleyEntrance,0.000,False,CoverPoint,0.224,0.200,9.946,4
79,-10.601,0.000,5.616,AlleyEntrance,0.000,False,CoverPoint,0.233,0.200,10.051,4
80,-10.601,0.000,7.616,OpenSpace,0.000,False,DetourPath,0.242,0.200,13.654,4
81,-10.601,0.000,9.616,BuildingCorner,0.000,False,CoverPoint,0.248,0.200,12.068,4
82,-10.601,0.000,11.616,OpenSpace,0.000,False,DetourPath,0.253,0.200,13.896,4
83,-10.601,0.000,13.616,BuildingCorner,0.000,False,CoverPoint,0.257,0.200,12.001,4
84,-10.601,0.000,15.616,BuildingCorner,0.000,False,CoverPoint,0.259,0.200,15.070,3
85,-8.601,0.000,-16.384,AlleyEntrance,0.000,False,CoverPoint,0.092,0.200,18.849,3
86,-8.601,0.000,-14.384,Intersection,0.000,False,Intersection,0.110,0.200,13.912,4
87,-8.601,0.000,-12.384,BuildingCorner,0.000,False,CoverPoint,0.128,0.200,9.962,4
88,-8.601,0.000,-10.384,BuildingCorner,0.000,False,CoverPoint,0.145,0.200,10.205,4
89,-8.601,0.000,-8.384,BuildingCorner,0.000,False,CoverPoint,0.162,0.200,12.286,4
90,-8.601,0.000,-6.384,BuildingCorner,0.000,False,CoverPoint,0.178,0.200,11.653,4
91,-8.601,0.000,-4.384,BuildingCorner,0.000,False,CoverPoint,0.194,0.200,12.863,4
92,-8.601,0.000,-2.384,BuildingCorner,0.000,False,CoverPoint,0.208,0.200,13.038,4
93,-8.601,0.000,-0.384,BuildingCorner,0.000,False,CoverPoint,0.222,0.200,9.790,4
94,-8.601,0.000,1.616,BuildingCorner,0.000,False,CoverPoint,0.234,0.200,11.512,4
95,-8.601,0.000,3.616,BuildingCorner,0.000,False,CoverPoint,0.245,0.200,12.364,4
96,-8.601,0.000,5.616,BuildingCorner,0.000,False,CoverPoint,0.255,0.200,11.596,4
97,-8.601,0.000,7.616,BuildingCorner,0.000,False,CoverPoint,0.264,0.200,16.318,4
98,-8.601,0.000,9.616,BuildingCorner,0.000,False,CoverPoint,0.271,0.200,14.933,4
99,-8.601,0.000,11.616,BuildingCorner,0.000,False,CoverPoint,0.277,0.200,15.860,4
100,-8.601,0.000,13.616,BuildingCorner,0.000,False,CoverPoint,0.281,0.200,14.321,4
101,-8.601,0.000,15.616,BuildingCorner,0.000,False,CoverPoint,0.283,0.200,14.393,3
102,-6.601,0.000,-16.384,Intersection,0.000,False,Intersection,0.106,0.200,18.740,3
103,-6.601,0.000,-14.384,AlleyEntrance,0.000,False,CoverPoint,0.125,0.200,12.605,4
104,-6.601,0.000,-12.384,BuildingCorner,0.000,False,CoverPoint,0.144,0.200,13.171,4
105,-6.601,0.000,-10.384,OpenSpace,0.000,False,DetourPath,0.162,0.200,10.194,4
106,-6.601,0.000,-8.384,BuildingCorner,0.000,False,CoverPoint,0.179,0.200,9.985,4
107,-6.601,0.000,-6.384,BuildingCorner,0.000,False,CoverPoint,0.196,0.200,10.431,4
108,-6.601,0.000,-4.384,BuildingCorner,0.000,False,CoverPoint,0.212,0.200,10.489,4
109,-6.601,0.000,-2.384,BuildingCorner,0.000,False,CoverPoint,0.227,0.200,11.939,4
110,-6.601,0.000,-0.384,BuildingCorner,0.000,False,CoverPoint,0.241,0.200,10.241,4
111,-6.601,0.000,1.616,BuildingCorner,0.000,False,CoverPoint,0.254,0.200,11.293,4
112,-6.601,0.000,3.616,BuildingCorner,0.000,False,CoverPoint,0.266,0.200,10.897,4
113,-6.601,0.000,5.616,OpenSpace,0.000,False,DetourPath,0.277,0.200,12.849,4
114,-6.601,0.000,7.616,BuildingCorner,0.000,False,CoverPoint,0.286,0.200,13.629,4
115,-6.601,0.000,9.616,OpenSpace,0.000,False,DetourPath,0.294,0.200,12.590,4
