startNodeId,endNodeId,travelCost,visibilityScore,pathType
0,19,4.000,0.500,Concealed
0,1,4.000,0.500,Concealed
1,0,4.000,0.500,Concealed
1,20,4.000,0.500,Concealed
1,2,4.000,0.500,Concealed
2,1,4.000,0.500,Concealed
2,21,4.000,0.500,Concealed
2,3,4.000,0.500,Concealed
3,2,4.000,0.500,Concealed
3,22,4.000,0.500,Concealed
3,4,4.000,0.500,Concealed
4,3,4.000,0.500,Concealed
4,23,4.000,0.500,Concealed
4,5,4.000,0.500,Detour
5,4,4.000,0.500,Detour
5,24,4.000,0.500,Direct
5,6,4.000,0.500,Detour
6,5,4.000,0.500,Detour
6,25,4.000,0.500,Concealed
6,7,4.000,0.500,Concealed
7,6,4.000,0.500,Concealed
7,26,4.000,0.500,Concealed
7,8,4.000,0.500,Concealed
8,7,4.000,0.500,Concealed
8,27,4.000,0.500,Concealed
8,9,4.000,0.500,Concealed
9,8,4.000,0.500,Concealed
9,28,4.000,0.500,Concealed
9,10,4.000,0.500,Detour
10,9,4.000,0.500,Detour
10,29,4.000,0.500,Direct
10,11,4.000,0.500,Detour
11,10,4.000,0.500,Detour
11,30,4.000,0.500,Concealed
11,12,4.000,0.500,Concealed
12,11,4.000,0.500,Concealed
12,31,4.000,0.500,Concealed
12,13,4.000,0.500,Concealed
13,12,4.000,0.500,Concealed
13,32,4.000,0.500,Concealed
13,14,4.000,0.500,Concealed
14,13,4.000,0.500,Concealed
14,33,4.000,0.500,Concealed
14,15,4.000,0.500,Detour
15,14,4.000,0.500,Detour
15,34,4.000,0.500,Direct
15,16,4.000,0.500,Detour
16,15,4.000,0.500,Detour
16,35,4.000,0.500,Concealed
16,17,4.000,0.500,Concealed
17,16,4.000,0.500,Concealed
17,36,4.000,0.500,Concealed
17,18,4.000,0.500,Concealed
18,17,4.000,0.500,Concealed
18,37,4.000,0.500,Concealed
19,0,4.000,0.500,Concealed
19,38,4.000,0.500,Concealed
19,20,4.000,0.500,Concealed
20,1,4.000,0.500,Concealed
20,19,4.000,0.500,Concealed
20,39,4.000,0.500,Concealed
20,21,4.000,0.500,Concealed
21,2,4.000,0.500,Concealed
21,20,4.000,0.500,Concealed
21,40,4.000,0.500,Concealed
21,22,4.000,0.500,Concealed
22,3,4.000,0.500,Concealed
22,21,4.000,0.500,Concealed
22,41,4.000,0.500,Concealed
22,23,4.000,0.500,Concealed
23,4,4.000,0.500,Concealed
23,22,4.000,0.500,Concealed
23,42,4.000,0.500,Concealed
23,24,4.000,0.500,Detour
24,5,4.000,0.500,Direct
24,23,4.000,0.500,Detour
24,43,4.000,0.500,Direct
24,25,4.000,0.500,Detour
