nodeId,pos_x,pos_y,pos_z,nodeType,elevation,isVisibleFromSpawn,strategicType,dangerScore,visibilityScore,avgSurroundingHeight,neighborCount
0,-40.000,0.000,-38.000,BuildingCorner,0.000,False,CoverPoint,0.082,0.200,7.657,2
1,-40.000,0.000,-34.000,BuildingCorner,0.000,False,CoverPoint,0.016,0.200,7.884,3
2,-40.000,0.000,-30.000,BuildingCorner,0.000,False,CoverPoint,0.031,0.200,7.657,3
3,-40.000,0.000,-26.000,BuildingCorner,0.000,False,CoverPoint,0.124,0.200,7.230,3
4,-40.000,0.000,-22.000,BuildingCorner,0.000,False,CoverPoint,0.138,0.200,7.386,3
5,-40.000,0.000,-18.000,AlleyEntrance,0.000,False,CoverPoint,0.310,0.200,7.354,3
6,-40.000,0.000,-14.000,BuildingCorner,0.000,False,CoverPoint,0.243,0.200,8.462,3
7,-40.000,0.000,-10.000,BuildingCorner,0.000,False,CoverPoint,0.174,0.200,8.273,3
8,-40.000,0.000,-6.000,BuildingCorner,0.000,False,CoverPoint,0.105,0.200,8.123,3
9,-40.000,0.000,-2.000,BuildingCorner,0.000,False,CoverPoint,0.195,0.200,8.580,3
10,-40.000,0.000,2.000,AlleyEntrance,0.000,False,CoverPoint,0.284,0.200,7.141,3
11,-40.000,0.000,6.000,BuildingCorner,0.000,False,CoverPoint,0.293,0.200,8.860,3
12,-40.000,0.000,10.000,BuildingCorner,0.000,False,CoverPoint,0.140,0.200,8.107,3
13,-40.000,0.000,14.000,BuildingCorner,0.000,False,CoverPoint,0.147,0.200,7.812,3
14,-40.000,0.000,18.000,BuildingCorner,0.000,False,CoverPoint,0.233,0.200,7.946,3
15,-40.000,0.000,22.000,AlleyEntrance,0.000,False,CoverPoint,0.238,0.200,7.973,3
16,-40.000,0.000,26.000,BuildingCorner,0.000,False,CoverPoint,0.161,0.200,7.114,3
17,-40.000,0.000,30.000,BuildingCorner,0.000,False,CoverPoint,0.164,0.200,7.498,3
18,-40.000,0.000,34.000,BuildingCorner,0.000,False,CoverPoint,0.246,0.200,6.461,2
19,-36.000,0.000,-38.000,BuildingCorner,0.000,False,CoverPoint,0.017,0.200,7.101,3
20,-36.000,0.000,-34.000,BuildingCorner,0.000,False,CoverPoint,0.032,0.200,7.027,4
21,-36.000,0.000,-30.000,BuildingCorner,0.000,False,CoverPoint,0.047,0.200,7.150,4
22,-36.000,0.000,-26.000,BuildingCorner,0.000,False,CoverPoint,0.061,0.200,7.571,4
23,-36.000,0.000,-22.000,BuildingCorner,0.000,False,CoverPoint,0.075,0.200,6.975,4
24,-36.000,0.000,-18.000,AlleyEntrance,0.000,False,CoverPoint,0.088,0.200,7.153,4
25,-36.000,0.000,-14.000,BuildingCorner,0.000,False,CoverPoint,0.101,0.200,7.172,4
26,-36.000,0.000,-10.000,BuildingCorner,0.000,False,CoverPoint,0.113,0.200,7.516,4
27,-36.000,0.000,-6.000,BuildingCorner,0.000,False,CoverPoint,0.124,0.200,7.264,4
28,-36.000,0.000,-2.000,BuildingCorner,0.000,False,CoverPoint,0.214,0.200,7.382,4
29,-36.000,0.000,2.000,AlleyEntrance,0.000,False,CoverPoint,0.144,0.200,7.221,4
30,-36.000,0.000,6.000,BuildingCorner,0.000,False,CoverPoint,0.153,0.200,7.475,4
31,-36.000,0.000,10.000,BuildingCorner,0.000,False,CoverPoint,0.161,0.200,7.339,4
32,-36.000,0.000,14.000,BuildingCorner,0.000,False,CoverPoint,0.168,0.200,7.481,4
33,-36.000,0.000,18.000,BuildingCorner,0.000,False,CoverPoint,0.174,0.200,7.261,4
34,-36.000,0.000,22.000,AlleyEntrance,0.000,False,CoverPoint,0.259,0.200,8.021,4
35,-36.000,0.000,26.000,BuildingCorner,0.000,False,CoverPoint,0.183,0.200,8.116,4
36,-36.000,0.000,30.000,BuildingCorner,0.000,False,CoverPoint,0.186,0.200,7.758,4
37,-36.000,0.000,34.000,BuildingCorner,0.000,False,CoverPoint,0.187,0.200,7.263,3
38,-32.000,0.000,-38.000,BuildingCorner,0.000,False,CoverPoint,0.032,0.200,6.895,3
39,-32.000,0.000,-34.000,BuildingCorner,0.000,False,CoverPoint,0.048,0.200,7.054,4
40,-32.000,0.000,-30.000,BuildingCorner,0.000,False,CoverPoint,0.063,0.200,7.642,4
41,-32.000,0.000,-26.000,BuildingCorner,0.000,False,CoverPoint,0.078,0.200,7.615,4
42,-32.000,0.000,-22.000,BuildingCorner,0.000,False,CoverPoint,0.092,0.200,7.822,4
43,-32.000,0.000,-18.000,AlleyEntrance,0.000,False,CoverPoint,0.185,0.200,7.324,4
44,-32.000,0.000,-14.000,BuildingCorner,0.000,False,CoverPoint,0.118,0.200,7.348,4
45,-32.000,0.000,-10.000,BuildingCorner,0.000,False,CoverPoint,0.131,0.200,7.562,4
46,-32.000,0.000,-6.000,BuildingCorner,0.000,False,CoverPoint,0.142,0.200,7.659,4
47,-32.000,0.000,-2.000,BuildingCorner,0.000,False,CoverPoint,0.153,0.200,7.895,4
48,-32.000,0.000,2.000,AlleyEntrance,0.000,False,CoverPoint,0.244,0.200,8.230,4
49,-32.000,0.000,6.000,BuildingCorner,0.000,False,CoverPoint,0.173,0.200,7.976,4
50,-32.000,0.000,10.000,BuildingCorner,0.000,False,CoverPoint,0.181,0.200,8.172,4
51,-32.000,0.000,14.000,BuildingCorner,0.000,False,CoverPoint,0.188,0.200,7.788,4
52,-32.000,0.000,18.000,BuildingCorner,0.000,False,CoverPoint,0.195,0.200,7.944,4
53,-32.000,0.000,22.000,AlleyEntrance,0.000,False,CoverPoint,0.280,0.200,8.449,4
54,-32.000,0.000,26.000,BuildingCorner,0.000,False,CoverPoint,0.204,0.200,8.444,4
55,-32.000,0.000,30.000,BuildingCorner,0.000,False,CoverPoint,0.207,0.200,7.443,4
56,-32.000,0.000,34.000,BuildingCorner,0.000,False,CoverPoint,0.289,0.200,7.370,3
57,-28.000,0.000,-38.000,BuildingCorner,0.000,False,CoverPoint,0.047,0.200,6.879,3
58,-28.000,0.000,-34.000,BuildingCorner,0.000,False,CoverPoint,0.063,0.200,7.233,4
59,-28.000,0.000,-30.000,BuildingCorner,0.000,False,CoverPoint,0.079,0.200,7.591,4
60,-28.000,0.000,-26.000,BuildingCorner,0.000,False,CoverPoint,0.094,0.200,7.358,4
61,-28.000,0.000,-22.000,BuildingCorner,0.000,False,CoverPoint,0.108,0.200,7.780,4
62,-28.000,0.000,-18.000,AlleyEntrance,0.000,False,CoverPoint,0.122,0.200,7.068,4
63,-28.000,0.000,-14.000,BuildingCorner,0.000,False,CoverPoint,0.136,0.200,7.317,4
64,-28.000,0.000,-10.000,BuildingCorner,0.000,False,CoverPoint,0.149,0.200,6.875,4
65,-28.000,0.000,-6.000,BuildingCorner,0.000,False,CoverPoint,0.161,0.200,6.896,4
66,-28.000,0.000,-2.000,BuildingCorner,0.000,False,CoverPoint,0.172,0.200,6.665,4
67,-28.000,0.000,2.000,AlleyEntrance,0.000,False,CoverPoint,0.343,0.200,7.928,4
68,-28.000,0.000,6.000,BuildingCorner,0.000,False,CoverPoint,0.272,0.200,7.255,4
69,-28.000,0.000,10.000,BuildingCorner,0.000,False,CoverPoint,0.201,0.200,8.163,4
70,-28.000,0.000,14.000,BuildingCorner,0.000,False,CoverPoint,0.209,0.200,7.889,4
71,-28.000,0.000,18.000,BuildingCorner,0.000,False,CoverPoint,0.216,0.200,8.294,4
72,-28.000,0.000,22.000,AlleyEntrance,0.000,False,CoverPoint,0.381,0.200,8.591,4
73,-28.000,0.000,26.000,BuildingCorner,0.000,False,CoverPoint,0.226,0.200,8.520,4
74,-28.000,0.000,30.000,BuildingCorner,0.000,False,CoverPoint,0.229,0.200,7.886,4
75,-28.000,0.000,34.000,BuildingCorner,0.000,False,CoverPoint,0.231,0.200,8.217,3
76,-24.000,0.000,-38.000,BuildingCorner,0.000,False,CoverPoint,0.141,0.200,6.965,3
77,-24.000,0.000,-34.000,BuildingCorner,0.000,False,CoverPoint,0.078,0.200,6.928,4
78,-24.000,0.000,-30.000,BuildingCorner,0.000,False,CoverPoint,0.174,0.200,7.566,4
79,-24.000,0.000,-26.000,BuildingCorner,0.000,False,CoverPoint,0.109,0.200,7.692,4
80,-24.000,0.000,-22.000,BuildingCorner,0.000,False,CoverPoint,0.204,0.200,7.513,4
81,-24.000,0.000,-18.000,AlleyEntrance,0.000,False,CoverPoint,0.219,0.200,7.226,4
82,-24.000,0.000,-14.000,BuildingCorner,0.000,False,CoverPoint,0.153,0.200,7.044,4
83,-24.000,0.000,-10.000,BuildingCorner,0.000,False,CoverPoint,0.166,0.200,6.942,4
84,-24.000,0.000,-6.000,BuildingCorner,0.000,False,CoverPoint,0.179,0.200,7.736,4
85,-24.000,0.000,-2.000,BuildingCorner,0.000,False,CoverPoint,0.191,0.200,6.946,4
86,-24.000,0.000,2.000,AlleyEntrance,0.000,False,CoverPoint,0.282,0.200,8.200,4
87,-24.000,0.000,6.000,BuildingCorner,0.000,False,CoverPoint,0.452,0.200,8.456,4
88,-24.000,0.000,10.000,BuildingCorner,0.000,False,CoverPoint,0.381,0.200,8.207,4
89,-24.000,0.000,14.000,BuildingCorner,0.000,False,CoverPoint,0.229,0.200,8.588,4
