startNodeId,endNodeId,travelCost,visibilityScore,pathType
0,20,5.000,0.500,Concealed
0,1,5.000,0.500,Concealed
1,0,5.000,0.500,Concealed
1,21,5.000,0.500,Concealed
1,2,5.000,0.500,Concealed
2,1,5.000,0.500,Concealed
2,22,5.000,0.500,Concealed
2,3,5.000,0.500,Concealed
3,2,5.000,0.500,Concealed
3,23,5.000,0.500,Concealed
3,4,5.000,0.500,Detour
4,3,5.000,0.500,Detour
4,24,5.000,0.500,Direct
4,5,5.000,0.500,Direct
5,4,5.000,0.500,Direct
5,25,5.000,0.500,Direct
5,6,5.000,0.500,Detour
6,5,5.000,0.500,Detour
6,26,5.000,0.500,Concealed
6,7,5.000,0.500,Concealed
7,6,5.000,0.500,Concealed
7,27,5.000,0.500,Concealed
7,8,5.000,0.500,Concealed
8,7,5.000,0.500,Concealed
8,28,5.000,0.500,Concealed
8,9,5.000,0.500,Detour
9,8,5.000,0.500,Detour
9,29,5.000,0.500,Direct
9,10,5.000,0.500,Detour
10,9,5.000,0.500,Detour
10,30,5.000,0.500,Concealed
10,11,5.000,0.500,Concealed
11,10,5.000,0.500,Concealed
11,31,5.000,0.500,Concealed
11,12,5.000,0.500,Concealed
12,11,5.000,0.500,Concealed
12,32,5.000,0.500,Concealed
12,13,5.000,0.500,Concealed
13,12,5.000,0.500,Concealed
13,33,5.000,0.500,Concealed
13,14,5.000,0.500,Concealed
14,13,5.000,0.500,Concealed
14,34,5.000,0.500,Concealed
14,15,5.000,0.500,Concealed
15,14,5.000,0.500,Concealed
15,35,5.000,0.500,Concealed
15,16,5.000,0.500,Detour
16,15,5.000,0.500,Detour
16,36,5.000,0.500,Direct
16,17,5.000,0.500,Detour
17,16,5.000,0.500,Detour
17,37,5.000,0.500,Concealed
17,18,5.000,0.500,Concealed
18,17,5.000,0.500,Concealed
18,38,5.000,0.500,Concealed
18,19,5.000,0.500,Concealed
19,18,5.000,0.500,Concealed
19,39,5.000,0.500,Concealed
20,0,5.000,0.500,Concealed
20,40,5.000,0.500,Concealed
20,21,5.000,0.500,Concealed
21,1,5.000,0.500,Concealed
21,20,5.000,0.500,Concealed
21,41,5.000,0.500,Concealed
21,22,5.000,0.500,Concealed
22,2,5.000,0.500,Concealed
22,21,5.000,0.500,Concealed
22,42,5.000,0.500,Concealed
22,23,5.000,0.500,Concealed
23,3,5.000,0.500,Concealed
23,22,5.000,0.500,Concealed
23,43,5.000,0.500,Concealed
23,24,5.000,0.500,Detour
24,4,5.000,0.500,Direct
24,23,5.000,0.500,Detour
24,44,5.000,0.500,Direct
24,25,5.000,0.500,Direct
25,5,5.000,0.500,Direct
25,24,5.000,0.500,Direct
25,45,5.000,0.500,Direct
25,26,5.000,0.500,Detour
26,6,5.000,0.500,Concealed
26,25,5.000,0.500,Detour
26,46,5.000,0.500,Concealed
26,27,5.000,0.500,Concealed
27,7,5.000,0.500,Concealed
27,26,5.000,0.500,Concealed
27,47,5.000,0.500,Concealed
27,28,5.000,0.500,Concealed
28,8,5.000,0.500,Concealed
28,27,5.000,0.500,Concealed
28,48,5.000,0.500,Concealed
28,29,5.000,0.500,Detour
29,9,5.000,0.500,Direct
29,28,5.000,0.500,Detour
29,49,5.000,0.500,Direct
29,30,5.000,0.500,Detour
30,10,5.000,0.500,Concealed
30,29,5.000,0.500,Detour
30,50,5.000,0.500,Concealed
30,31,5.000,0.500,Concealed
31,11,5.000,0.500,Concealed
31,30,5.000,0.500,Concealed
31,51,5.000,0.500,Concealed
31,32,5.000,0.500,Concealed
32,12,5.000,0.500,Concealed
32,31,5.000,0.500,Concealed
32,52,5.000,0.500,Concealed
32,33,5.000,0.500,Concealed
33,13,5.000,0.500,Concealed
33,32,5.000,0.500,Concealed
33,53,5.000,0.500,Concealed
33,34,5.000,0.500,Concealed
34,14,5.000,0.500,Concealed
34,33,5.000,0.500,Concealed
34,54,5.000,0.500,Concealed
34,35,5.000,0.500,Concealed
35,15,5.000,0.500,Concealed
35,34,5.000,0.500,Concealed
35,55,5.000,0.500,Concealed
35,36,5.000,0.500,Detour
36,16,5.000,0.500,Direct
36,35,5.000,0.500,Detour
36,56,5.000,0.500,Direct
36,37,5.000,0.500,Detour
37,17,5.000,0.500,Concealed
37,36,5.000,0.500,Detour
37,57,5.000,0.500,Concealed
37,38,5.000,0.500,Concealed
38,18,5.000,0.500,Concealed
38,37,5.000,0.500,Concealed
38,58,5.000,0.500,Concealed
38,39,5.000,0.500,Concealed
39,19,5.000,0.500,Concealed
39,38,5.000,0.500,Concealed
39,59,5.000,0.500,Concealed
40,20,5.000,0.500,Concealed
40,60,5.000,0.500,Concealed
40,41,5.000,0.500,Concealed
41,21,5.000,0.500,Concealed
41,40,5.000,0.500,Concealed
41,61,5.000,0.500,Concealed
41,42,5.000,0.500,Concealed
42,22,5.000,0.500,Concealed
42,41,5.000,0.500,Concealed
