nodeId,pos_x,pos_y,pos_z,nodeType,elevation,isVisibleFromSpawn,strategicType,dangerScore,visibilityScore,avgSurroundingHeight,neighborCount
0,-66.500,0.000,-66.500,AlleyEntrance,0.000,False,CoverPoint,0.320,0.200,7.226,2
1,-66.500,0.000,-59.500,BuildingCorner,0.000,False,DetourPath,0.320,0.200,1.875,3
2,-66.500,0.000,-52.500,AlleyEntrance,0.000,False,DetourPath,0.336,0.200,4.551,3
3,-66.500,0.000,-45.500,AlleyEntrance,0.000,False,DetourPath,0.270,0.200,2.042,3
4,-66.500,0.000,-38.500,BuildingCorner,0.000,False,DetourPath,0.364,0.200,0.000,3
5,-66.500,0.000,-31.500,AlleyEntrance,0.000,False,DetourPath,0.378,0.200,2.209,3
6,-66.500,0.000,-24.500,Intersection,0.000,False,Intersection,0.471,0.200,0.000,3
7,-66.500,0.000,-17.500,Intersection,0.000,False,Intersection,0.483,0.200,9.769,3
8,-66.500,0.000,-10.500,AlleyEntrance,0.000,False,CoverPoint,0.495,0.200,9.769,3
9,-66.500,0.000,-3.500,Intersection,0.000,False,Intersection,0.506,0.200,9.769,3
10,-66.500,0.000,3.500,Intersection,0.000,False,Intersection,0.516,0.200,0.000,3
11,-66.500,0.000,10.500,Intersection,0.000,False,Intersection,0.526,0.200,0.000,3
12,-66.500,0.000,17.500,Intersection,0.000,False,Intersection,0.534,0.000,0.000,3
13,-66.500,0.000,24.500,Intersection,0.000,False,Intersection,0.542,0.200,0.000,3
14,-66.500,0.000,31.500,Intersection,0.000,False,Intersection,0.548,0.200,0.000,3
15,-66.500,0.000,38.500,AlleyEntrance,0.000,False,DetourPath,0.474,0.200,1.134,3
16,-66.500,0.000,45.500,BuildingCorner,0.000,False,DetourPath,0.478,0.200,0.000,3
17,-66.500,0.000,52.500,AlleyEntrance,0.000,False,CoverPoint,0.481,0.000,5.011,3
18,-66.500,0.000,59.500,AlleyEntrance,0.000,False,CoverPoint,0.564,0.200,8.887,3
19,-66.500,0.000,66.500,OpenSpace,0.000,False,OpenArea,0.565,0.200,8.887,2
20,-59.500,0.000,-66.500,Intersection,0.000,False,Intersection,0.400,0.200,7.226,3
21,-59.500,0.000,-59.500,AlleyEntrance,0.000,False,DetourPath,0.256,0.200,4.551,4
22,-59.500,0.000,-52.500,BuildingCorner,0.000,False,CoverPoint,0.352,0.200,7.226,4
23,-59.500,0.000,-45.500,Intersection,0.000,False,Intersection,0.367,0.200,2.042,4
24,-59.500,0.000,-38.500,Intersection,0.000,False,Intersection,0.382,0.200,2.209,4
25,-59.500,0.000,-31.500,Intersection,0.000,False,Intersection,0.476,0.200,2.209,4
26,-59.500,0.000,-24.500,Intersection,0.000,False,Intersection,0.489,0.200,0.000,4
27,-59.500,0.000,-17.500,Intersection,0.000,False,Intersection,0.502,0.200,9.769,4
28,-59.500,0.000,-10.500,BuildingCorner,0.000,False,DetourPath,0.434,0.200,0.000,4
29,-59.500,0.000,-3.500,Intersection,0.000,False,Intersection,0.526,0.200,9.768,4
30,-59.500,0.000,3.500,Intersection,0.000,False,Intersection,0.536,0.200,9.767,4
31,-59.500,0.000,10.500,Intersection,0.000,False,Intersection,0.546,0.200,9.767,4
32,-59.500,0.000,17.500,Intersection,0.000,False,Intersection,0.555,0.200,0.000,4
33,-59.500,0.000,24.500,Intersection,0.000,False,Intersection,0.563,0.200,0.000,4
34,-59.500,0.000,31.500,Intersection,0.000,False,Intersection,0.569,0.200,0.000,4
35,-59.500,0.000,38.500,Intersection,0.000,False,Intersection,0.495,0.200,5.852,4
36,-59.500,0.000,45.500,AlleyEntrance,0.000,False,CoverPoint,0.500,0.200,5.852,4
37,-59.500,0.000,52.500,Intersection,0.000,False,Intersection,0.584,0.000,6.779,4
38,-59.500,0.000,59.500,BuildingCorner,0.000,False,CoverPoint,0.426,0.200,6.524,4
39,-59.500,0.000,66.500,AlleyEntrance,0.000,False,CoverPoint,0.587,0.200,7.706,3
40,-52.500,0.000,-66.500,Intersection,0.000,False,Intersection,0.416,0.200,0.000,3
41,-52.500,0.000,-59.500,Intersection,0.000,False,Intersection,0.432,0.200,1.875,4
42,-52.500,0.000,-52.500,Intersection,0.000,False,Intersection,0.368,0.200,7.412,4
43,-52.500,0.000,-45.500,Intersection,0.000,False,Intersection,0.383,0.200,7.412,4
44,-52.500,0.000,-38.500,Intersection,0.000,False,Intersection,0.479,0.200,12.950,4
45,-52.500,0.000,-31.500,Intersection,0.000,False,Intersection,0.493,0.200,0.000,4
46,-52.500,0.000,-24.500,Intersection,0.000,False,Intersection,0.507,0.200,0.000,4
47,-52.500,0.000,-17.500,Intersection,0.000,False,Intersection,0.520,0.200,9.769,4
48,-52.500,0.000,-10.500,Intersection,0.000,False,Intersection,0.533,0.200,9.769,4
49,-52.500,0.000,-3.500,Intersection,0.000,False,Intersection,0.545,0.200,9.768,4
50,-52.500,0.000,3.500,BuildingCorner,0.000,False,DetourPath,0.476,0.200,0.000,4
51,-52.500,0.000,10.500,Intersection,0.000,False,Intersection,0.566,0.200,9.767,4
52,-52.500,0.000,17.500,Intersection,0.000,False,Intersection,0.575,0.200,0.000,4
53,-52.500,0.000,24.500,Intersection,0.000,False,Intersection,0.584,0.000,0.000,4
54,-52.500,0.000,31.500,Intersection,0.000,False,Intersection,0.591,0.200,0.000,4
55,-52.500,0.000,38.500,Intersection,0.000,False,Intersection,0.597,0.000,10.570,4
56,-52.500,0.000,45.500,BuildingCorner,0.000,False,DetourPath,0.602,0.200,0.000,4
57,-52.500,0.000,52.500,AlleyEntrance,0.000,False,CoverPoint,0.606,0.000,8.660,4
58,-52.500,0.000,59.500,BuildingCorner,0.000,False,CoverPoint,0.528,0.200,9.396,4
59,-52.500,0.000,66.500,AlleyEntrance,0.000,False,CoverPoint,0.529,0.200,8.439,3
60,-45.500,0.000,-66.500,Intersection,0.000,False,Intersection,0.430,0.200,0.000,3
61,-45.500,0.000,-59.500,Intersection,0.000,False,Intersection,0.447,0.200,0.000,4
62,-45.500,0.000,-52.500,Intersection,0.000,False,Intersection,0.463,0.200,12.950,4
63,-45.500,0.000,-45.500,BuildingCorner,0.000,False,DetourPath,0.479,0.200,0.000,4
64,-45.500,0.000,-38.500,Intersection,0.000,False,Intersection,0.495,0.200,12.950,4
65,-45.500,0.000,-31.500,Intersection,0.000,False,Intersection,0.510,0.200,0.000,4
66,-45.500,0.000,-24.500,Intersection,0.000,False,Intersection,0.524,0.200,0.000,4
67,-45.500,0.000,-17.500,Intersection,0.000,False,Intersection,0.538,0.200,0.000,4
68,-45.500,0.000,-10.500,Intersection,0.000,False,Intersection,0.551,0.200,0.000,4
69,-45.500,0.000,-3.500,Intersection,0.000,False,Intersection,0.564,0.200,9.767,4
70,-45.500,0.000,3.500,Intersection,0.000,False,Intersection,0.575,0.200,7.430,4
71,-45.500,0.000,10.500,Intersection,0.000,False,Intersection,0.506,0.200,7.430,4
72,-45.500,0.000,17.500,Intersection,0.000,False,Intersection,0.516,0.200,5.094,4
73,-45.500,0.000,24.500,Intersection,0.000,False,Intersection,0.604,0.200,0.000,4
74,-45.500,0.000,31.500,Intersection,0.000,False,Intersection,0.612,0.200,0.000,4
75,-45.500,0.000,38.500,Intersection,0.000,False,Intersection,0.619,0.000,10.570,4
76,-45.500,0.000,45.500,Intersection,0.000,False,Intersection,0.624,0.000,10.570,4
77,-45.500,0.000,52.500,Intersection,0.000,False,Intersection,0.628,0.000,8.547,4
78,-45.500,0.000,59.500,AlleyEntrance,0.000,False,CoverPoint,0.630,0.000,8.214,4
79,-45.500,0.000,66.500,BuildingCorner,0.000,False,CoverPoint,0.632,0.200,6.524,3
80,-38.500,0.000,-66.500,Intersection,0.000,False,Intersection,0.444,0.200,0.000,3
81,-38.500,0.000,-59.500,Intersection,0.000,False,Intersection,0.462,0.200,0.000,4
82,-38.500,0.000,-52.500,Intersection,0.000,False,Intersection,0.479,0.200,12.950,4
83,-38.500,0.000,-45.500,Intersection,0.000,False,Intersection,0.495,0.200,11.389,4
84,-38.500,0.000,-38.500,Intersection,0.000,False,Intersection,0.511,0.200,11.389,4
85,-38.500,0.000,-31.500,Intersection,0.000,False,Intersection,0.527,0.200,9.828,4
86,-38.500,0.000,-24.500,Intersection,0.000,False,Intersection,0.542,0.200,0.000,4
87,-38.500,0.000,-17.500,Intersection,0.000,False,Intersection,0.556,0.200,0.000,4
88,-38.500,0.000,-10.500,Intersection,0.000,False,Intersection,0.569,0.200,0.000,4
89,-38.500,0.000,-3.500,Intersection,0.000,False,Intersection,0.582,0.200,0.000,4
90,-38.500,0.000,3.500,Intersection,0.000,False,Intersection,0.514,0.200,5.094,4
91,-38.500,0.000,10.500,BuildingCorner,0.000,False,DetourPath,0.526,0.200,0.000,4
92,-38.500,0.000,17.500,Intersection,0.000,False,Intersection,0.536,0.200,5.094,4
93,-38.500,0.000,24.500,Intersection,0.000,False,Intersection,0.625,0.200,0.000,4
94,-38.500,0.000,31.500,Intersection,0.000,False,Intersection,0.633,0.200,0.000,4
95,-38.500,0.000,38.500,Intersection,0.000,False,Intersection,0.640,0.200,0.000,4
96,-38.500,0.000,45.500,Intersection,0.000,False,Intersection,0.646,0.000,0.000,4
97,-38.500,0.000,52.500,Intersection,0.000,False,Intersection,0.650,0.000,0.000,4
98,-38.500,0.000,59.500,Intersection,0.000,False,Intersection,0.653,0.000,9.905,4
99,-38.500,0.000,66.500,AlleyEntrance,0.000,False,CoverPoint,0.654,0.200,9.905,3
100,-31.500,0.000,-66.500,Intersection,0.000,False,Intersection,0.458,0.200,0.000,3
101,-31.500,0.000,-59.500,Intersection,0.000,False,Intersection,0.476,0.200,0.000,4
102,-31.500,0.000,-52.500,Intersection,0.000,False,Intersection,0.493,0.200,0.000,4
103,-31.500,0.000,-45.500,Intersection,0.000,False,Intersection,0.510,0.200,9.828,4
104,-31.500,0.000,-38.500,BuildingCorner,0.000,False,CoverPoint,0.447,0.200,9.063,4
