nodeId,pos_x,pos_y,pos_z,nodeType,elevation,isVisibleFromSpawn,strategicType,dangerScore,visibilityScore,avgSurroundingHeight,neighborCount
0,-28.000,0.000,-24.000,BuildingCorner,0.000,False,CoverPoint,0.162,0.200,7.060,2
1,-28.000,0.000,-20.000,BuildingCorner,0.000,False,CoverPoint,0.183,0.200,7.827,3
2,-28.000,0.000,-16.000,BuildingCorner,0.000,False,CoverPoint,0.282,0.200,8.791,3
3,-28.000,0.000,-12.000,OpenSpace,0.000,False,DetourPath,0.300,0.200,8.600,3
4,-28.000,0.000,-8.000,BuildingCorner,0.000,False,CoverPoint,0.237,0.200,8.212,3
5,-28.000,0.000,-4.000,AlleyEntrance,0.000,False,CoverPoint,0.253,0.200,7.294,3
6,-28.000,0.000,0.000,AlleyEntrance,0.000,False,CoverPoint,0.426,0.200,6.848,3
7,-28.000,0.000,4.000,AlleyEntrance,0.000,False,CoverPoint,0.438,0.200,8.040,3
8,-28.000,0.000,8.000,BuildingCorner,0.000,False,CoverPoint,0.368,0.200,6.882,3
9,-28.000,0.000,12.000,BuildingCorner,0.000,False,CoverPoint,0.456,0.200,8.949,3
10,-28.000,0.000,16.000,OpenSpace,0.000,False,DetourPath,0.221,0.200,7.596,3
11,-28.000,0.000,20.000,BuildingCorner,0.000,False,CoverPoint,0.385,0.200,7.958,2
12,-24.000,0.000,-24.000,BuildingCorner,0.000,False,CoverPoint,0.106,0.200,7.102,3
13,-24.000,0.000,-20.000,OpenSpace,0.000,False,DetourPath,0.128,0.200,7.825,4
14,-24.000,0.000,-16.000,BuildingCorner,0.000,False,CoverPoint,0.148,0.200,8.456,4
15,-24.000,0.000,-12.000,BuildingCorner,0.000,False,CoverPoint,0.087,0.200,7.970,4
16,-24.000,0.000,-8.000,BuildingCorner,0.000,False,CoverPoint,0.185,0.200,8.143,4
17,-24.000,0.000,-4.000,OpenSpace,0.000,False,DetourPath,0.121,0.200,7.162,4
18,-24.000,0.000,0.000,BuildingCorner,0.000,False,CoverPoint,0.216,0.200,7.636,4
19,-24.000,0.000,4.000,AlleyEntrance,0.000,False,CoverPoint,0.308,0.200,7.571,4
20,-24.000,0.000,8.000,AlleyEntrance,0.000,False,CoverPoint,0.239,0.200,7.785,4
21,-24.000,0.000,12.000,OpenSpace,0.000,False,DetourPath,0.247,0.200,7.860,4
22,-24.000,0.000,16.000,BuildingCorner,0.000,False,CoverPoint,0.174,0.200,7.050,4
23,-24.000,0.000,20.000,BuildingCorner,0.000,False,CoverPoint,0.257,0.200,7.546,3
24,-20.000,0.000,-24.000,OpenSpace,0.000,False,DetourPath,0.210,0.200,7.137,3
25,-20.000,0.000,-20.000,BuildingCorner,0.000,False,CoverPoint,0.072,0.200,7.556,4
26,-20.000,0.000,-16.000,BuildingCorner,0.000,False,CoverPoint,0.094,0.200,8.004,4
27,-20.000,0.000,-12.000,BuildingCorner,0.000,False,CoverPoint,0.114,0.200,7.269,4
28,-20.000,0.000,-8.000,BuildingCorner,0.000,False,CoverPoint,0.132,0.200,7.626,4
29,-20.000,0.000,-4.000,BuildingCorner,0.000,False,CoverPoint,0.150,0.200,5.958,4
30,-20.000,0.000,0.000,BuildingCorner,0.000,False,CoverPoint,0.165,0.200,6.886,4
31,-20.000,0.000,4.000,BuildingCorner,0.000,False,CoverPoint,0.179,0.200,7.163,4
32,-20.000,0.000,8.000,BuildingCorner,0.000,False,CoverPoint,0.270,0.200,7.607,4
33,-20.000,0.000,12.000,BuildingCorner,0.000,False,CoverPoint,0.359,0.200,8.522,4
34,-20.000,0.000,16.000,BuildingCorner,0.000,False,CoverPoint,0.286,0.200,8.228,4
35,-20.000,0.000,20.000,AlleyEntrance,0.000,False,CoverPoint,0.450,0.200,8.039,3
36,-16.000,0.000,-24.000,BuildingCorner,0.000,False,CoverPoint,0.232,0.200,8.051,3
37,-16.000,0.000,-20.000,BuildingCorner,0.000,False,CoverPoint,0.096,0.200,7.102,4
38,-16.000,0.000,-16.000,BuildingCorner,0.000,False,CoverPoint,0.118,0.200,7.940,4
39,-16.000,0.000,-12.000,BuildingCorner,0.000,False,CoverPoint,0.139,0.200,6.826,4
40,-16.000,0.000,-8.000,BuildingCorner,0.000,False,CoverPoint,0.159,0.200,7.285,4
41,-16.000,0.000,-4.000,BuildingCorner,0.000,False,CoverPoint,0.177,0.200,6.384,4
42,-16.000,0.000,0.000,BuildingCorner,0.000,False,CoverPoint,0.194,0.200,7.408,4
43,-16.000,0.000,4.000,OpenSpace,0.000,False,DetourPath,0.208,0.200,7.375,4
44,-16.000,0.000,8.000,BuildingCorner,0.000,False,CoverPoint,0.221,0.200,8.032,4
45,-16.000,0.000,12.000,OpenSpace,0.000,False,DetourPath,0.310,0.200,8.330,4
46,-16.000,0.000,16.000,BuildingCorner,0.000,False,CoverPoint,0.318,0.200,7.251,4
47,-16.000,0.000,20.000,AlleyEntrance,0.000,False,CoverPoint,0.482,0.200,7.608,3
48,-12.000,0.000,-24.000,AlleyEntrance,0.000,False,CoverPoint,0.174,0.200,7.749,3
49,-12.000,0.000,-20.000,BuildingCorner,0.000,False,CoverPoint,0.118,0.200,6.926,4
50,-12.000,0.000,-16.000,BuildingCorner,0.000,False,CoverPoint,0.141,0.200,8.014,4
51,-12.000,0.000,-12.000,BuildingCorner,0.000,False,CoverPoint,0.164,0.200,6.540,4
