startNodeId,endNodeId,travelCost,visibilityScore,pathType
0,11,4.000,0.500,Concealed
0,1,4.000,0.500,Detour
1,0,4.000,0.500,Detour
1,12,4.000,0.500,Direct
1,2,4.000,0.500,Detour
2,1,4.000,0.500,Detour
2,13,4.000,0.500,Detour
2,3,4.000,0.500,Detour
3,2,4.000,0.500,Detour
3,14,4.000,0.500,Direct
3,4,4.000,0.500,Detour
4,3,4.000,0.500,Detour
4,15,4.000,0.500,Detour
4,5,4.000,0.500,Detour
5,4,4.000,0.500,Detour
5,16,4.000,0.500,Direct
5,6,4.000,0.500,Direct
6,5,4.000,0.500,Direct
6,17,4.000,0.500,Detour
6,7,4.000,0.500,Direct
7,6,4.000,0.500,Direct
7,18,4.000,0.500,Direct
7,8,4.000,0.500,Direct
8,7,4.000,0.500,Direct
8,19,4.000,0.500,Direct
8,9,4.000,0.500,Direct
9,8,4.000,0.500,Direct
9,20,4.000,0.500,Detour
9,10,4.000,0.500,Direct
10,9,4.000,0.500,Direct
10,21,4.000,0.500,Detour
11,0,4.000,0.500,Concealed
11,22,4.000,0.500,Detour
11,12,4.000,0.500,Detour
12,1,4.000,0.500,Direct
12,11,4.000,0.500,Detour
12,23,4.000,0.500,Direct
12,13,4.000,0.500,Direct
13,2,4.000,0.500,Detour
13,12,4.000,0.500,Direct
13,24,4.000,0.500,Direct
13,14,4.000,0.500,Direct
14,3,4.000,0.500,Direct
14,13,4.000,0.500,Direct
14,25,4.000,0.500,Direct
14,15,4.000,0.500,Direct
15,4,4.000,0.500,Detour
15,14,4.000,0.500,Direct
15,26,4.000,0.500,Direct
15,16,4.000,0.500,Direct
16,5,4.000,0.500,Direct
16,15,4.000,0.500,Direct
16,27,4.000,0.500,Direct
16,17,4.000,0.500,Detour
17,6,4.000,0.500,Detour
17,16,4.000,0.500,Detour
17,28,4.000,0.500,Detour
17,18,4.000,0.500,Detour
18,7,4.000,0.500,Direct
18,17,4.000,0.500,Detour
18,29,4.000,0.500,Direct
